Entity,Month,T-Nature Name,Division Name,Vr. Date,Vr. No.,Item Nature,Item Name,Um,Godown Name,Finished + By Product,Finished Materials,Raw Material Consumed,By Product Received,Store Consumables,Rate,Value Issued,Value Received,Dramt
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-001,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,99.19,99.19,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,81.6,,,3937.55,321304.0702,0,321304.0702
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,19.2,,,800,15360,0,15360
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-001,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,143.76,,,9557.15,1373935.881,0,1373935.881
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-002,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,95.72,95.72,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-002,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,78.48,,,3937.55,309018.9146,0,309018.9146
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-002,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,19.2,,,800,15360,0,15360
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-002,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,138.72,,,9557.15,1325767.845,0,1325767.845
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-003,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,63.973,,0,63.973,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-003,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,95.88,95.88,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-003,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,119.04,,,3937.55,468725.9377,0,468725.9377
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-003,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,19.2,,,800,15360,0,15360
SA,Apr-25,PRODUCTION,SPONGE IRON,01-Apr-25,P125401-003,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,138.96,,,9557.15,1328061.561,0,1328061.561
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,FINISHED GOODS,Silico Manganese,MT,FINISHED GOODS,32.8,32.8,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,17.98,,,5213.521,93739.10039,0,93739.10039
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,12.987,,,725,9415.575,0,9415.575
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,RAW MATERIAL,MANGANESE ORE,MT,RAW MATERIAL,0,,58.468,,,12587.413,735960.858,0,735960.858
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,RAW MATERIAL,PEARL COKE,MT,RAW MATERIAL,0,,12.301,,,14984.245,184321.198,0,184321.198
SA,Apr-25,PRODUCTION,FERRO ALLOYS,01-Apr-25,P225401-001,RAW MATERIAL,QUARTZITE,MT,RAW MATERIAL,0,,1.443,,,1400,2020.2,0,2020.2
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,01-Apr-25,P325401-1,BY PRODUCTS,BED ASH,MT,BY PRODUCT,200,,0,200,,0,0,0,0
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,01-Apr-25,P325401-2,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,305,,,3887.211,1185599.233,0,1185599.233
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,01-Apr-25,P325401-2,RAW MATERIAL,DOLOCHAR -RAW MATERIAL,MT,RAW MATERIAL,0,,50,,,700,35000,0,35000
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-002,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,75.6,,,3937.55,297678.7709,0,297678.7709
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-002,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,24,,,800,19200,0,19200
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-002,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,135.6,,,9557.15,1295949.537,0,1295949.537
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,62.037,,0,62.037,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,7,7,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,84.72,84.72,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,119.04,,,3937.55,468725.9377,0,468725.9377
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,21.6,,,800,17280,0,17280
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,RAW MATERIAL,IRON ORE,MT,RAW MATERIAL,0,,66.72,,,9007.875,601005.4,0,601005.4
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-003,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,68.88,,,9557.15,658296.4906,0,658296.4906
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-001,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,96.71,96.71,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,78.24,,,3937.55,308073.9026,0,308073.9026
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,21.6,,,800,17280,0,17280
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-001,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,140.16,,,9557.15,1339530.141,0,1339530.141
SA,Apr-25,PRODUCTION,SPONGE IRON,02-Apr-25,P125402-002,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,93.56,93.56,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,FINISHED GOODS,Silico Manganese,MT,FINISHED GOODS,31.85,31.85,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,17.404,,,5213.521,90736.11252,0,90736.11252
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,12.598,,,725,9133.55,0,9133.55
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,RAW MATERIAL,MANGANESE ORE,MT,RAW MATERIAL,0,,57.294,,,12587.413,721183.2353,0,721183.2353
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,RAW MATERIAL,PEARL COKE,MT,RAW MATERIAL,0,,11.871,,,14984.245,177877.9726,0,177877.9726
SA,Apr-25,PRODUCTION,FERRO ALLOYS,02-Apr-25,P225402-001,RAW MATERIAL,QUARTZITE,MT,RAW MATERIAL,0,,0.219,,,1400,306.6,0,306.6
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,02-Apr-25,P325402-1,BY PRODUCTS,FLY ASH,MT,BY PRODUCT,1000,,0,1000,,0,0,0,0
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,02-Apr-25,P325402-2,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,560,,,3994.552,2236948.963,0,2236948.963
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,02-Apr-25,P325402-2,RAW MATERIAL,DOLOCHAR -RAW MATERIAL,MT,RAW MATERIAL,0,,90,,,700,63000,0,63000
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-001,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,95.72,95.72,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,77.04,,,3937.55,303348.8428,0,303348.8428
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,21.6,,,800,17280,0,17280
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-001,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,138.72,,,9557.15,1325767.845,0,1325767.845
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-002,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,92.4,92.4,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-002,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,74.16,,,3937.55,292008.6991,0,292008.6991
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-002,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,24,,,800,19200,0,19200
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-002,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,133.92,,,9557.15,1279893.525,0,1279893.525
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-003,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,58.504,,0,58.504,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-003,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,77.81,77.81,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-003,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,108.72,,,3937.55,428090.423,0,428090.423
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-003,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,21.6,,,800,17280,0,17280
SA,Apr-25,PRODUCTION,SPONGE IRON,03-Apr-25,P125403-003,RAW MATERIAL,IRON ORE,MT,RAW MATERIAL,0,,134.16,,,9007.875,1208496.47,0,1208496.47
SA,Apr-25,PRODUCTION,FERRO ALLOYS,03-Apr-25,P225403-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,12.179,,,725,8829.775,0,8829.775
SA,Apr-25,PRODUCTION,FERRO ALLOYS,03-Apr-25,P225403-001,RAW MATERIAL,MANGANESE ORE,MT,RAW MATERIAL,0,,55.318,,,12587.413,696310.5074,0,696310.5074
SA,Apr-25,PRODUCTION,FERRO ALLOYS,03-Apr-25,P225403-001,RAW MATERIAL,PEARL COKE,MT,RAW MATERIAL,0,,10.964,,,14984.245,164287.2624,0,164287.2624
SA,Apr-25,PRODUCTION,FERRO ALLOYS,03-Apr-25,P225403-001,FINISHED GOODS,Silico Manganese,MT,FINISHED GOODS,31.2,31.2,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,03-Apr-25,P225403-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,16.811,,,5213.521,87644.49481,0,87644.49481
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,03-Apr-25,P325403-1,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,440,,,3959.043,1741978.731,0,1741978.731
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,03-Apr-25,P325403-1,RAW MATERIAL,DOLOCHAR -RAW MATERIAL,MT,RAW MATERIAL,0,,100,,,700,70000,0,70000
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-001,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,39.91,39.91,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,49.2,,,3937.55,193727.4541,0,193727.4541
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,12.48,,,800,9984,0,9984
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-001,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,57.84,,,9557.15,552785.5548,0,552785.5548
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-002,FINISHED GOODS,SPONGE IRON PELLETS,MT,FINISHED GOODS,39.58,39.58,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-002,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,49.2,,,3937.55,193727.4541,0,193727.4541
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-002,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,13.2,,,800,10560,0,10560
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-002,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,57.36,,,9557.15,548198.1229,0,548198.1229
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-003,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,34.544,,0,34.544,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-003,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,77.53,77.53,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-003,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,108.48,,,3937.55,427145.411,0,427145.411
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-003,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,21.6,,,800,17280,0,17280
SA,Apr-25,PRODUCTION,SPONGE IRON,04-Apr-25,P125404-003,RAW MATERIAL,IRON ORE,MT,RAW MATERIAL,0,,133.68,,,9007.875,1204172.69,0,1204172.69
SA,Apr-25,PRODUCTION,FERRO ALLOYS,04-Apr-25,P225404-001,FINISHED GOODS,Silico Manganese,MT,FINISHED GOODS,27.3,27.3,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,04-Apr-25,P225404-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,15.661,,,5213.521,81648.94612,0,81648.94612
SA,Apr-25,PRODUCTION,FERRO ALLOYS,04-Apr-25,P225404-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,11.343,,,725,8223.675,0,8223.675
SA,Apr-25,PRODUCTION,FERRO ALLOYS,04-Apr-25,P225404-001,RAW MATERIAL,MANGANESE ORE,MT,RAW MATERIAL,0,,51.421,,,12587.413,647257.3593,0,647257.3593
SA,Apr-25,PRODUCTION,FERRO ALLOYS,04-Apr-25,P225404-001,RAW MATERIAL,PEARL COKE,MT,RAW MATERIAL,0,,10.04,,,14984.245,150441.82,0,150441.82
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,04-Apr-25,P325404-1,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,425,,,3964.494,1684910.018,0,1684910.018
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,04-Apr-25,P325404-1,RAW MATERIAL,DOLOCHAR -RAW MATERIAL,MT,RAW MATERIAL,0,,115,,,700,80500,0,80500
SA,Apr-25,PRODUCTION,SPONGE IRON,05-Apr-25,P125405-001,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,74.61,74.61,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,05-Apr-25,P125405-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,105.36,,,3937.55,414860.2554,0,414860.2554
SA,Apr-25,PRODUCTION,SPONGE IRON,05-Apr-25,P125405-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,20.64,,,800,16512,0,16512
SA,Apr-25,PRODUCTION,SPONGE IRON,05-Apr-25,P125405-001,RAW MATERIAL,IRON ORE,MT,RAW MATERIAL,0,,128.64,,,9007.875,1158773.001,0,1158773.001
SA,Apr-25,PRODUCTION,SPONGE IRON,05-Apr-25,P125405-002,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,8.207,,0,8.207,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,05-Apr-25,P125405-002,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,36,,,3937.55,141751.7957,0,141751.7957
SA,Apr-25,PRODUCTION,SPONGE IRON,05-Apr-25,P125405-003,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,8.207,,0,8.207,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,05-Apr-25,P125405-003,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,36,,,3937.55,141751.7957,0,141751.7957
SA,Apr-25,PRODUCTION,FERRO ALLOYS,05-Apr-25,P225405-001,FINISHED GOODS,Silico Manganese,MT,FINISHED GOODS,15.3,15.3,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,05-Apr-25,P225405-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,7.542,,,5213.521,39320.37237,0,39320.37237
SA,Apr-25,PRODUCTION,FERRO ALLOYS,05-Apr-25,P225405-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,5.458,,,725,3957.05,0,3957.05
SA,Apr-25,PRODUCTION,FERRO ALLOYS,05-Apr-25,P225405-001,RAW MATERIAL,MANGANESE ORE,MT,RAW MATERIAL,0,,24.383,,,12587.413,306918.889,0,306918.889
SA,Apr-25,PRODUCTION,FERRO ALLOYS,05-Apr-25,P225405-001,RAW MATERIAL,PEARL COKE,MT,RAW MATERIAL,0,,4.719,,,14984.245,70710.65225,0,70710.65225
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,05-Apr-25,P325405-1,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,430,,,3973.96,1708802.658,0,1708802.658
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,05-Apr-25,P325405-1,RAW MATERIAL,DOLOCHAR -RAW MATERIAL,MT,RAW MATERIAL,0,,110,,,700,77000,0,77000
SA,Apr-25,PRODUCTION,SPONGE IRON,06-Apr-25,P125406-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,31.2,,,3937.55,122851.5563,0,122851.5563
SA,Apr-25,PRODUCTION,SPONGE IRON,06-Apr-25,P125406-002,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,6.297,,0,6.297,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,06-Apr-25,P125406-002,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,31.2,,,3937.55,122851.5563,0,122851.5563
SA,Apr-25,PRODUCTION,SPONGE IRON,06-Apr-25,P125406-003,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,57.25,57.25,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,06-Apr-25,P125406-003,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,101.04,,,3937.55,397850.0399,0,397850.0399
SA,Apr-25,PRODUCTION,SPONGE IRON,06-Apr-25,P125406-003,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,16.56,,,800,13248,0,13248
SA,Apr-25,PRODUCTION,SPONGE IRON,06-Apr-25,P125406-003,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,101.28,,,9557.15,967948.15,0,967948.15
SA,Apr-25,PRODUCTION,SPONGE IRON,06-Apr-25,P125406-001,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,6.297,,0,6.297,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,06-Apr-25,P225406-001,FINISHED GOODS,Silico Manganese,MT,FINISHED GOODS,13,13,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,06-Apr-25,P225406-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,5.802,,,5213.521,30248.84652,0,30248.84652
SA,Apr-25,PRODUCTION,FERRO ALLOYS,06-Apr-25,P225406-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,4.201,,,725,3045.725,0,3045.725
SA,Apr-25,PRODUCTION,FERRO ALLOYS,06-Apr-25,P225406-001,RAW MATERIAL,MANGANESE ORE,MT,RAW MATERIAL,0,,18.608,,,12587.413,234226.5794,0,234226.5794
SA,Apr-25,PRODUCTION,FERRO ALLOYS,06-Apr-25,P225406-001,RAW MATERIAL,PEARL COKE,MT,RAW MATERIAL,0,,3.6,,,14984.245,53943.28207,0,53943.28207
SA,Apr-25,PRODUCTION,FERRO ALLOYS,06-Apr-25,P225406-001,RAW MATERIAL,QUARTZITE,MT,RAW MATERIAL,0,,0.151,,,1400,211.4,0,211.4
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,06-Apr-25,P325406-1,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,425,,,3929.47,1670024.669,0,1670024.669
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,06-Apr-25,P325406-1,RAW MATERIAL,DOLOCHAR -RAW MATERIAL,MT,RAW MATERIAL,0,,70,,,700,49000,0,49000
SA,Apr-25,PRODUCTION,SPONGE IRON,07-Apr-25,P125407-001,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,12,12,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,07-Apr-25,P125407-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,38.4,,,3937.55,151201.9154,0,151201.9154
SA,Apr-25,PRODUCTION,SPONGE IRON,07-Apr-25,P125407-002,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,12,12,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,07-Apr-25,P125407-002,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,38.88,,,3937.55,153091.9393,0,153091.9393
SA,Apr-25,PRODUCTION,SPONGE IRON,07-Apr-25,P125407-003,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,25.245,,0,25.245,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,07-Apr-25,P125407-003,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,90.75,90.75,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,07-Apr-25,P125407-003,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,112.8,,,3937.55,444155.6265,0,444155.6265
SA,Apr-25,PRODUCTION,SPONGE IRON,07-Apr-25,P125407-003,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,21.6,,,800,17280,0,17280
SA,Apr-25,PRODUCTION,SPONGE IRON,07-Apr-25,P125407-003,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,131.52,,,9557.15,1256956.365,0,1256956.365
SA,Apr-25,PRODUCTION,FERRO ALLOYS,07-Apr-25,P225407-001,FINISHED GOODS,Silico Manganese,MT,FINISHED GOODS,15.75,15.75,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,FERRO ALLOYS,07-Apr-25,P225407-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,8.698,,,5213.521,45347.20218,0,45347.20218
SA,Apr-25,PRODUCTION,FERRO ALLOYS,07-Apr-25,P225407-001,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,6.295,,,725,4563.875,0,4563.875
SA,Apr-25,PRODUCTION,FERRO ALLOYS,07-Apr-25,P225407-001,RAW MATERIAL,MANGANESE ORE,MT,RAW MATERIAL,0,,27.699,,,12587.413,348658.7502,0,348658.7502
SA,Apr-25,PRODUCTION,FERRO ALLOYS,07-Apr-25,P225407-001,RAW MATERIAL,PEARL COKE,MT,RAW MATERIAL,0,,5.5,,,14984.245,82413.34761,0,82413.34761
SA,Apr-25,PRODUCTION,FERRO ALLOYS,07-Apr-25,P225407-001,RAW MATERIAL,QUARTZITE,MT,RAW MATERIAL,0,,0.708,,,1400,991.2,0,991.2
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,07-Apr-25,P325407-1,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,395,,,3939.254,1556005.385,0,1556005.385
SA,Apr-25,POWER PLANT PRODUCTION,POWER PLANT,07-Apr-25,P325407-1,RAW MATERIAL,DOLOCHAR -RAW MATERIAL,MT,RAW MATERIAL,0,,95,,,700,66500,0,66500
SA,Apr-25,PRODUCTION,SPONGE IRON,08-Apr-25,P125408-001,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,18,18,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,08-Apr-25,P125408-001,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,36,,,3937.55,141751.7957,0,141751.7957
SA,Apr-25,PRODUCTION,SPONGE IRON,08-Apr-25,P125408-002,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,18,18,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,08-Apr-25,P125408-002,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,36.48,,,3937.55,143641.8196,0,143641.8196
SA,Apr-25,PRODUCTION,SPONGE IRON,08-Apr-25,P125408-003,BY PRODUCTS,DOLOCHAR BY PRODUCT (650 TDD),MT,BY PRODUCT,27.775,,0,27.775,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,08-Apr-25,P125408-003,FINISHED GOODS,SPONGE IRON LUMPS,MT,FINISHED GOODS,90.25,90.25,0,,,0,0,0,0
SA,Apr-25,PRODUCTION,SPONGE IRON,08-Apr-25,P125408-003,RAW MATERIAL,COAL,MT,RAW MATERIAL,0,,112.08,,,3937.55,441320.5906,0,441320.5906
SA,Apr-25,PRODUCTION,SPONGE IRON,08-Apr-25,P125408-003,RAW MATERIAL,DOLOMITE,MT,RAW MATERIAL,0,,21.6,,,800,17280,0,17280
SA,Apr-25,PRODUCTION,SPONGE IRON,08-Apr-25,P125408-003,RAW MATERIAL,PELLETS ORE,MT,RAW MATERIAL,0,,130.8,,,9557.15,1250075.217,0,1250075.217
